vid,gz_state,gz_district,gz_taluka,gz_village,gz_village_raw,gz_sno,esa_category,bifurcated,notified_forest,cen_village,cen_subdistrict,cen_district,censuscode,lgd_villagecode,score,scope,area_km2
619589,KARNATAKA,Chamaraja Nagar,Gundlupet,Kaniyanapura,Kaniyanapura,80,whole_village,False,False,Kaniyanapura,Gundlupet,Chamarajanagar,619589,619589,100.0,dist+tal,14.286
619565,KARNATAKA,Chamaraja Nagar,Gundlupet,Kunagahalli,Kunagahalli,81,whole_village,False,False,Kunagahalli,Gundlupet,Chamarajanagar,619565,619565,100.0,dist+tal,4.273
619562,KARNATAKA,Chamaraja Nagar,Gundlupet,Lakkipura,Lakkipura,82,whole_village,False,False,Lakkipura,Gundlupet,Chamarajanagar,619562,619562,100.0,dist+tal,2.83
619559,KARNATAKA,Chamaraja Nagar,Gundlupet,Maddur,Maddur,83,whole_village,False,False,Maddur,Gundlupet,Chamarajanagar,619559,619559,100.0,dist+tal,5.197
619575,KARNATAKA,Chamaraja Nagar,Gundlupet,Maguvinahalli,Maguvinahalli,84,whole_village,False,False,Maguvinahally,Gundlupet,Chamarajanagar,619575,619575,95.7,dist+tal,12.073
609716,KARNATAKA,Chikmagalur,Chikmagalur,Arenoor,Arenoor,85,whole_village,False,False,Arenoor,Chikkamagaluru,Chikkamagaluru,609716,609716,100.0,dist+tal,7.049
603917,KARNATAKA,Chikmagalur,Chikmagalur,Attigeri,Attigeri,86,whole_village,False,False,Attigeri,Shiggaon,Haveri,603917,603917,100.0,state,18.45
609667,KARNATAKA,Chikmagalur,Chikmagalur,Basapura,Basapura,87,whole_village,False,False,Basapura,Chikkamagaluru,Chikkamagaluru,609667,609667,100.0,dist+tal,7.26
609708,KARNATAKA,Chikmagalur,Chikmagalur,Basaravalli,Basaravalli,88,whole_village,False,False,Basaravalli,Chikkamagaluru,Chikkamagaluru,609708,609708,100.0,dist+tal,4.118
609697,KARNATAKA,Chikmagalur,Chikmagalur,Beranagod,Beranagod,89,whole_village,False,False,Beranagodu,Chikkamagaluru,Chikkamagaluru,609697,609697,100.0,dist+tal,8.974
609664,KARNATAKA,Chikmagalur,Chikmagalur,Bidari,Bidari,90,whole_village,False,False,Bidare,Chikkamagaluru,Chikkamagaluru,609664,609664,100.0,dist+tal,35.765
609671,KARNATAKA,Chikmagalur,Chikmagalur,Bikkarni,Bikkarni,91,whole_village,False,False,Bikkarane,Chikkamagaluru,Chikkamagaluru,609671,609671,92.3,dist+tal,5.522
609665,KARNATAKA,Chikmagalur,Chikmagalur,Bogashi,Bogashi,92,whole_village,False,False,Boggase,Chikkamagaluru,Chikkamagaluru,609665,609665,100.0,dist+tal,11.525
609751,KARNATAKA,Chikmagalur,Chikmagalur,Churchigud Kaval,Churchigud Kaval,93,whole_village,False,False,Churchugudde Kaval,Chikkamagaluru,Chikkamagaluru,609751,609751,90.3,dist+tal,42.98
609687,KARNATAKA,Chikmagalur,Chikmagalur,Dattatrayapitha,Dattatrayapitha,94,whole_village,False,False,Dattathreyapeeta,Chikkamagaluru,Chikkamagaluru,609687,609687,84.6,dist+tal,12.587
609674,KARNATAKA,Chikmagalur,Chikmagalur,Heggaramattivani,Heggaramattivani,95,whole_village,False,False,Heggarmathavani,Chikkamagaluru,Chikkamagaluru,609674,609674,84.6,dist+tal,15.664
616499,KARNATAKA,Chikmagalur,Chikmagalur,Hippala,Hippala,96,whole_village,False,False,Hippali,Arkalgud,Hassan,616499,616499,100.0,state,1.329
609670,KARNATAKA,Chikmagalur,Chikmagalur,Hugeri,Hugeri,97,whole_village,False,False,Huigere,Chikkamagaluru,Chikkamagaluru,609670,609670,90.9,dist+tal,28.196
609685,KARNATAKA,Chikmagalur,Chikmagalur,Jagara,Jagara,98,whole_village,False,False,Jagara,Chikkamagaluru,Chikkamagaluru,609685,609685,100.0,dist+tal,15.484
609666,KARNATAKA,Chikmagalur,Chikmagalur,Kadavanti,Kadavanti,99,whole_village,False,False,Kadavanthi,Chikkamagaluru,Chikkamagaluru,609666,609666,94.7,dist+tal,15.527
609682,KARNATAKA,Chikmagalur,Chikmagalur,Kesavi,Kesavi,100,whole_village,False,False,Kesave,Chikkamagaluru,Chikkamagaluru,609682,609682,100.0,dist+tal,30.272
609678,KARNATAKA,Chikmagalur,Chikmagalur,Kesavinamane,Kesavinamane,101,whole_village,False,False,Kesavinamane,Chikkamagaluru,Chikkamagaluru,609678,609678,100.0,dist+tal,44.771
609686,KARNATAKA,Chikmagalur,Chikmagalur,Kolgave,Kolgave,102,whole_village,False,False,Kolagave,Chikkamagaluru,Chikkamagaluru,609686,609686,93.3,dist+tal,29.277
609675,KARNATAKA,Chikmagalur,Chikmagalur,Madla,Madla,103,whole_village,False,False,Madla,Chikkamagaluru,Chikkamagaluru,609675,609675,100.0,dist+tal,18.151
609691,KARNATAKA,Chikmagalur,Chikmagalur,Malagaru,Malagaru,104,whole_village,False,False,Malagaru,Chikkamagaluru,Chikkamagaluru,609691,609691,100.0,dist+tal,4.924
609672,KARNATAKA,Chikmagalur,Chikmagalur,Manabur,Manabur,105,whole_village,False,False,Manaboor,Chikkamagaluru,Chikkamagaluru,609672,609672,100.0,dist+tal,5.338
609681,KARNATAKA,Chikmagalur,Chikmagalur,Melinahuluvathi,Melinahuluvathi,106,whole_village,False,False,Melinahuluvathi,Chikkamagaluru,Chikkamagaluru,609681,609681,100.0,dist+tal,25.074
609677,KARNATAKA,Chikmagalur,Chikmagalur,Melugiri,Melugiri,107,whole_village,False,False,Melagiri,Chikkamagaluru,Chikkamagaluru,609677,609677,87.5,dist+tal,34.646
609673,KARNATAKA,Chikmagalur,Chikmagalur,Saragodu,Saragodu,109,whole_village,False,False,Saragodu,Chikkamagaluru,Chikkamagaluru,609673,609673,100.0,dist+tal,31.696
615092,KARNATAKA,Chikmagalur,Chikmagalur,Shiraguru,Shiraguru,110,whole_village,False,False,Shiragura,Belur,Hassan,615092,615092,100.0,state,5.487
609684,KARNATAKA,Chikmagalur,Chikmagalur,Shirvashi,Shirvashi,111,whole_village,False,False,Shiravase,Chikkamagaluru,Chikkamagaluru,609684,609684,92.3,dist+tal,29.527
609683,KARNATAKA,Chikmagalur,Chikmagalur,Sugadavani,Sugadavani,112,whole_village,False,False,Suguduvani,Chikkamagaluru,Chikkamagaluru,609683,609683,80.0,dist+tal,31.303
609026,KARNATAKA,Chikmagalur,Koppa,Adagebailu,Adagebailu,113,whole_village,False,False,Adigebylu,Koppa,Chikkamagaluru,609026,609026,73.7,dist+tal,17.024
608996,KARNATAKA,Chikmagalur,Koppa,Addada,Addada,114,whole_village,False,False,Addada,Koppa,Chikkamagaluru,608996,608996,100.0,dist+tal,13.563
609015,KARNATAKA,Chikmagalur,Koppa,Belawadi,Belawadi,115,whole_village,False,False,Belawadi,Koppa,Chikkamagaluru,609015,609015,100.0,dist+tal,1.823
608971,KARNATAKA,Chikmagalur,Koppa,Bhandigadi,Bhandigadi,116,whole_village,False,False,Bhandigadi,Koppa,Chikkamagaluru,608971,608971,100.0,dist+tal,11.355
608978,KARNATAKA,Chikmagalur,Koppa,Bilagadde,Bilagadde,117,whole_village,False,False,Bilagadde,Koppa,Chikkamagaluru,608978,608978,100.0,dist+tal,12.141
608990,KARNATAKA,Chikmagalur,Koppa,Bolapura,Bolapura,118,whole_village,False,False,Bolapura,Koppa,Chikkamagaluru,608990,608990,100.0,dist+tal,4.657
609018,KARNATAKA,Chikmagalur,Koppa,Dayamballi,Dayamballi,119,whole_village,False,False,Dayamballi,Koppa,Chikkamagaluru,609018,609018,100.0,dist+tal,8.86
609043,KARNATAKA,Chikmagalur,Koppa,Devagodu,Devagodu,120,whole_village,False,False,Devagodu,Koppa,Chikkamagaluru,609043,609043,100.0,dist+tal,15.333
608965,KARNATAKA,Chikmagalur,Koppa,Devarahalli,Devarahalli,121,whole_village,False,False,Devarahalli,Koppa,Chikkamagaluru,608965,608965,100.0,dist+tal,0.898
608993,KARNATAKA,Chikmagalur,Koppa,Gunavanthe,Gunavanthe,122,whole_village,False,False,Gunavanthe,Koppa,Chikkamagaluru,608993,608993,100.0,dist+tal,13.665
609033,KARNATAKA,Chikmagalur,Koppa,Haralane,Haralane,123,whole_village,False,False,Haralane,Koppa,Chikkamagaluru,609033,609033,100.0,dist+tal,5.971
609021,KARNATAKA,Chikmagalur,Koppa,Heggaru,Heggaru,124,whole_village,False,False,Heggaru,Koppa,Chikkamagaluru,609021,609021,100.0,dist+tal,9.836
608991,KARNATAKA,Chikmagalur,Koppa,Hirekodige,Hirekodige,125,whole_village,False,False,Hirekodige,Koppa,Chikkamagaluru,608991,608991,100.0,dist+tal,9.633
